key,en,ja,ko,zh-TW,zh-CN,es,pt,ru,fr,vi
story_mid_collect_2_1,Perfect. Now you can fight fire with fire.,完璧。これで火には火で対抗できる。,완벽해. 이제 불에는 불로 맞설 수 있어.,完美。現在你可以以火攻火了。,完美。现在你可以以火攻火了。,Perfecto. Ahora puedes combatir fuego con fuego.,Perfeito. Agora você pode combater fogo com fogo.,Отлично. Теперь ты можешь бить огонь огнём.,Parfait. Maintenant tu peux combattre le feu par le feu.,Hoàn hảo. Giờ ngươi có thể lấy lửa đốt lửa.
story_mid_collect_2_2,My Remnant launches bouncing projectiles. They ricochet everywhere.,私のレムナントは跳ねる弾を撃つ。あちこちに跳ね回るわ。,내 잔재는 튕기는 탄을 쏴. 사방으로 튕겨다녀.,我的殘餘發射彈跳彈。它們會四處反彈。,我的残余发射弹跳弹丸。它们到处反弹。,Mi Vestigio lanza proyectiles rebotantes. Rebotan por todas partes.,Meu Vestígio lança projéteis ricocheteantes. Eles ricocheteiam por todo lado.,Мой Останок запускает отскакивающие снаряды. Они рикошетят повсюду.,Mon Vestige lance des projectiles rebondissants. Ils ricochent partout.,Tàn Dư của ta bắn đạn nảy. Chúng nảy khắp nơi.
story_mid_collect_2_3,Use your Knight to block what you can. Use the Berserker to send them back.,ナイトで防げるものは防いで。バーサーカーで跳ね返して。,나이트로 막을 수 있는 건 막아. 버서커로 튕겨내.,用騎士擋住能擋的。用狂戰士反彈回去。,用你的骑士阻挡能挡的。用狂战士把它们弹回去。,Usa tu Caballero para bloquear lo que puedas. Usa el Berserker para devolverlos.,Use seu Cavaleiro para bloquear o que puder. Use o Berserker para mandá-los de volta.,"Используй Рыцаря, чтобы блокировать. Используй Берсерка, чтобы отправлять их обратно.",Utilise ton Chevalier pour bloquer ce que tu peux. Utilise le Berserker pour les renvoyer.,Dùng Hiệp Sĩ để chặn những gì có thể. Dùng Cuồng Chiến để đẩy chúng lại.
story_mid_collect_2_4,And whatever you do... keep moving!,とにかく... 動き続けて！,그리고 뭐든... 계속 움직여!,無論如何... 保持移動！,无论如何... 保持移动！,Y hagas lo que hagas... ¡sigue moviéndote!,E faça o que fizer... continue se movendo!,И что бы ни случилось... продолжай двигаться!,Et quoi qu'il arrive... continue de bouger !,Và dù thế nào... tiếp tục di chuyển!
story_mid_collect_2_5,Bouncing lights appear on the horizon. The Remnant approaches.,跳ねる光が地平線に現れる。レムナントが近づいている。,튕기는 빛들이 수평선에 나타난다. 잔재가 다가온다.,彈跳的光芒出現在地平線上。殘餘正在接近。,地平线上出现弹跳的光芒。残余正在接近。,Luces rebotantes aparecen en el horizonte. El Vestigio se acerca.,Luzes saltitantes aparecem no horizonte. O Vestígio se aproxima.,На горизонте появляются прыгающие огни. Останок приближается.,Des lumières rebondissantes apparaissent à l'horizon. Le Vestige approche.,Những ánh sáng nảy xuất hiện ở chân trời. Tàn Dư đang đến.
story_mid_collect_3_1,There is another way to harm my Remnant.,私のレムナントを傷つける別の方法があります。,제 잔재를 다치게 할 다른 방법이 있어요.,還有另一種方法可以傷害我的殘餘。,还有另一种方法可以伤害我的残余。,Hay otra forma de dañar mi Vestigio.,Há outra forma de danificar meu Vestígio.,Есть ещё один способ повредить мой Останок.,Il y a une autre façon de blesser mon Vestige.,Có cách khác để làm tổn thương Tàn Dư của ta.
story_mid_collect_3_2,The Wizard's lightning chains between targets. If the first target is not my Remnant...,ウィザードの雷は標的間で連鎖します。最初の標的が私のレムナントでなければ...,위자드의 번개는 대상 사이를 연쇄해요. 첫 번째 대상이 제 잔재가 아니면...,巫師的閃電在目標之間連鎖。如果第一個目標不是我的殘餘...,巫师的闪电在目标之间连锁。如果第一个目标不是我的残余...,El relámpago del Hechicero encadena entre objetivos. Si el primer objetivo no es mi Vestigio...,O relâmpago do Feiticeiro encadeia entre alvos. Se o primeiro alvo não for meu Vestígio...,Молния Волшебника цепляется между целями. Если первая цель - не мой Останок...,L'éclair du Sorcier s'enchaîne entre les cibles. Si la première cible n'est pas mon Vestige...,Sét của Phù Thủy xích giữa các mục tiêu. Nếu mục tiêu đầu tiên không phải Tàn Dư của ta...
story_mid_collect_3_3,...the chain can still reach it. Indirectly.,...連鎖は間接的に届きます。,...연쇄가 간접적으로 닿을 수 있어요.,...連鎖仍然可以間接觸及它。,...连锁仍然可以间接到达它。,...la cadena puede alcanzarlo. Indirectamente.,...a cadeia ainda pode alcançá-lo. Indiretamente.,...цепь всё равно может достичь его. Косвенно.,...la chaîne peut quand même l'atteindre. Indirectement.,...chuỗi vẫn có thể chạm tới nó. Gián tiếp.
story_mid_collect_3_4,Position your enemies between you and the Remnant. Let the lightning chain through them.,敵をあなたとレムナントの間に配置してください。雷を通して連鎖させるのです。,적을 당신과 잔재 사이에 배치하세요. 번개가 그들을 통해 연쇄하게.,讓敵人站在你和殘餘之間。讓閃電穿過他們連鎖。,让你的敌人在你和残余之间。让闪电穿过他们连锁。,Posiciona a tus enemigos entre tú y el Vestigio. Deja que el relámpago encadene a través de ellos.,Posicione seus inimigos entre você e o Vestígio. Deixe o relâmpago encadear através deles.,Расположи врагов между собой и Останком. Пусть молния цепляется через них.,Positionne tes ennemis entre toi et le Vestige. Laisse l'éclair s'enchaîner à travers eux.,Đặt kẻ thù giữa ngươi và Tàn Dư. Để sét xích qua chúng.
story_mid_collect_3_5,White feathers drift from the sky as a holy light descends.,白い羽が空から舞い降り、聖なる光が降りてくる。,"하얀 깃털이 하늘에서 내려오고, 성스러운 빛이 내려온다.",白色的羽毛從天空飄落，聖光降臨。,白色羽毛从天空飘落，神圣之光降临。,Plumas blancas caen del cielo mientras desciende una luz sagrada.,Penas brancas caem do céu enquanto uma luz sagrada desce.,"Белые перья падают с неба, пока святой свет нисходит.",Des plumes blanches tombent du ciel tandis qu'une lumière sacrée descend.,Lông vũ trắng rơi từ trời khi ánh sáng thánh khiết hạ xuống.
story_mid_collect_4_1,"Together, they might keep you alive long enough to win.",二つ合わせれば、勝つまで生き延びられるかもしれない。,"둘이 합치면, 이길 때까지 살아남을 수 있을지도 모른다.",它們加在一起，或許能讓你活到獲勝。,它们一起，可能让你活得足够久来获胜。,"Juntos, podrían mantenerte vivo lo suficiente para ganar.","Juntos, podem te manter vivo tempo suficiente para vencer.",Вместе они могут поддержать тебя достаточно долго для победы.,"Ensemble, ils pourraient te garder en vie assez longtemps pour gagner.","Cùng nhau, chúng có thể giữ ngươi sống đủ lâu để chiến thắng."
story_mid_collect_4_2,You have all you need now.,必要なものは全て揃った。,필요한 건 다 갖췄다.,你現在有了需要的一切。,你现在拥有了所需的一切。,Ya tienes todo lo que necesitas.,Você tem tudo que precisa agora.,Теперь у тебя есть всё необходимое.,Tu as maintenant tout ce dont tu as besoin.,Bây giờ ngươi có tất cả những gì cần.
story_mid_collect_4_3,My Remnant awaits. It is... powerful. More than the others.,俺のレムナントが待っている。他の者より... 強力だ。,내 잔재가 기다린다. 다른 것들보다... 강력하다.,我的殘餘在等待。它... 比其他的更強大。,我的残余在等待。它... 很强大。比其他的都强。,Mi Vestigio espera. Es... poderoso. Más que los demás.,Meu Vestígio espera. É... poderoso. Mais que os outros.,Мой Останок ждёт. Он... могущественен. Сильнее других.,Mon Vestige attend. Il est... puissant. Plus que les autres.,Tàn Dư của ta đang chờ. Nó... mạnh mẽ. Hơn những cái khác.
story_mid_collect_4_4,I was the last to fall when the demons attacked. My Remnant reflects that strength.,魔族が攻めてきた時、俺は最後まで戦った。俺のレムナントはその強さを反映している。,"마족이 공격했을 때, 나는 마지막까지 싸웠다. 내 잔재는 그 힘을 반영한다.",當惡魔進攻時，我是最後倒下的。我的殘餘反映了那份力量。,当恶魔攻击时我是最后倒下的。我的残余反映了那份力量。,Fui el último en caer cuando los demonios atacaron. Mi Vestigio refleja esa fuerza.,Fui o último a cair quando os demônios atacaram. Meu Vestígio reflete essa força.,"Я пал последним, когда демоны напали. Мой Останок отражает эту силу.",J'ai été le dernier à tomber quand les démons ont attaqué. Mon Vestige reflète cette force.,Ta là người cuối cùng ngã khi bọn quỷ tấn công. Tàn Dư của ta phản ánh sức mạnh đó.
story_mid_collect_4_5,A searing light ignites in the void. The final Remnant has awakened.,灼熱の光が虚空に燃え上がる。最後のレムナントが目覚めた。,타오르는 빛이 허공에서 점화된다. 마지막 잔재가 깨어났다.,灼熱的光芒在虛空中點燃。最後的殘餘已經覺醒。,虚空中燃起灼热的光芒。最终残余已经觉醒。,Una luz abrasadora se enciende en el vacío. El Vestigio final ha despertado.,Uma luz abrasadora se acende no vazio. O Vestígio final despertou.,Обжигающий свет вспыхивает в пустоте. Финальный Останок пробудился.,Une lumière brûlante s'allume dans le vide. Le Vestige final s'est éveillé.,Ánh sáng thiêu đốt bùng lên trong hư không. Tàn Dư cuối cùng đã thức tỉnh.
story_vic_1_0,The Remnant shatters into light. The energy flows upward... and vanishes.,レムナントが光となって砕け散る。そのエネルギーは上昇し... 消えていく。,잔재가 빛으로 부서진다. 에너지가 위로 올라가... 사라진다.,殘餘碎裂成光芒。能量向上升騰... 消失了。,残余碎裂成光。能量向上流动...然后消失。,El Vestigio se rompe en luz. La energía fluye hacia arriba... y desaparece.,O Vestígio se estilhaça em luz. A energia flui para cima... e desaparece.,Останок рассыпается светом. Энергия устремляется вверх... и исчезает.,Le Vestige se brise en lumière. L'énergie s'élève... et disparaît.,Tàn Dư vỡ tan thành ánh sáng. Năng lượng bay lên cao... rồi biến mất.
story_vic_1_1,"You... you actually did it. I can feel it. My strength returning, piece by piece.",お前... 本当にやり遂げた。,너... 정말 해냈구나.,你... 你真的做到了。,你……你真的做到了。我能感觉到。我的力量正一点点回归。,"Tú... de verdad lo lograste. Puedo sentirlo. Mi fuerza vuelve, pieza a pieza.","Você... você realmente conseguiu. Eu consigo sentir. Minha força está voltando, pedaço por pedaço.","Ты... ты действительно сделал это. Я чувствую это. Моя сила возвращается, по кусочку.","Toi... tu as vraiment réussi. Je le sens. Ma force revient, morceau par morceau.","Ngươi... ngươi thực sự đã làm được. Ta cảm nhận được. Sức mạnh của ta đang trở lại, từng mảnh một."
story_vic_1_2,A red light pulses nearby - the Knight sprite.,赤い光が近くで脈動する - ナイトスプライト。,붉은 빛이 근처에서 맥동한다 - 나이트 스프라이트.,紅色的光在附近跳動 - 騎士精靈。,一束红光在附近脉动——骑士精灵。,Toma mi poder. El sprite Guerrero ahora está bajo tu mando.,Receba meu poder. O sprite Guerreiro agora está sob seu comando.,Прими мою силу. Спрайт Воина теперь под твоим командованием.,Prends mon pouvoir. Le sprite Guerrier est maintenant sous ton commandement.,Nhận lấy sức mạnh của ta. Sprite Chiến Binh giờ thuộc về ngươi.
story_vic_1_3,The Knight. It stood by me in countless battles.,ナイト。数え切れない戦いで我と共にあった。,나이트. 수없이 많은 전투에서 나와 함께했다.,騎士。在無數戰役中與我並肩。,骑士。它在无数次战斗中与我并肩。,El Caballero. Estuvo a mi lado en incontables batallas.,O Cavaleiro. Ele esteve ao meu lado em incontáveis batalhas.,Рыцарь. Он был рядом со мной в бесчисленных битвах.,Le Chevalier. Il est resté à mes côtés dans d'innombrables batailles.,Hiệp Sĩ. Nó đã đứng bên ta qua vô số trận chiến.
story_vic_1_4,"Take it, {name}. It will protect you when arrows cannot.",受け取れ、{name}。矢では守れない時、お前を守ってくれる。,"받아라, {name}. 화살로 지킬 수 없을 때 널 지켜줄 것이다.",收下它，{name}。當箭矢無法保護你時，它會保護你。,接受它，{name}。当箭矢无法保护你时，它会保护你。,"Tómalo, {name}. Te protegerá cuando las flechas no puedan.","Pegue-o, {name}. Vai te proteger quando flechas não puderem.","Возьми его, {name}. Он защитит тебя, когда стрелы не смогут.","Prends-le, {name}. Il te protégera quand les flèches ne le pourront pas.","Nhận lấy nó, {name}. Nó sẽ bảo vệ ngươi khi mũi tên không thể."
story_vic_2_0,The Remnant bursts into countless sparks that fade into the sky.,レムナントが無数の火花となって弾け、空に消えていく。,잔재가 무수한 불꽃으로 터져 하늘로 사라진다.,殘餘爆裂成無數火花，消散在天空中。,残余爆发成无数火花，消散在天空中。,El Vestigio estalla en incontables chispas que se desvanecen en el cielo.,O Vestígio explode em incontáveis faíscas que desaparecem no céu.,"Останок взрывается бесчисленными искрами, исчезающими в небе.",Le Vestige explose en d'innombrables étincelles qui s'évanouissent dans le ciel.,Tàn Dư nổ tung thành vô số tia sáng tan biến vào bầu trời.
story_vic_2_1,Hah! You actually pulled it off!,ハッ！本当にやったのね！,하! 정말 해냈네!,哈！你真的辦到了！,哈！你还真办到了！,¡Ja! ¡De verdad lo lograste!,Ha! Você conseguiu mesmo!,Ха! У тебя и правда получилось!,Ha ! Tu l'as vraiment fait !,Ha! Ngươi thật sự làm được!
story_vic_2_2,"I can feel myself again. The real me, not that... thing.",私自身を感じられるわ。本当の私を、あの... ものではなく。,"내 자신을 다시 느낄 수 있어. 진짜 나를, 저... 것이 아닌.",我能感覺到自己了。真正的我，而不是那個... 東西。,我又能感觉到自己了。真正的我，而不是那……东西。,Mi poder de rebote ahora es tuyo. ¡Úsalo bien!,Meu poder de salto agora é seu. Use bem!,Моя сила прыжка теперь твоя. Используй её с умом!,Mon pouvoir de rebond est maintenant tien. Utilise-le bien !,Sức mạnh nảy của ta giờ thuộc về ngươi. Hãy dùng tốt!
story_vic_2_3,A cyan light crackles nearby - the Wizard sprite.,シアン色の光が近くで輝く - ウィザードスプライト。,시안색 빛이 근처에서 빛난다 - 위자드 스프라이트.,青色的光在附近閃爍 - 巫師精靈。,一束青色的光在附近噼啪作响——巫师精灵。,Una luz cian crepita cerca: el sprite del Hechicero.,Uma luz ciano estala por perto — o sprite do Feiticeiro.,Рядом потрескивает бирюзовый свет — спрайт Волшебника.,Une lumière cyan crépite tout près — le sprite du Sorcier.,Một ánh sáng xanh lam nhạt lép bép gần đó - sprite Phù Thủy.
story_vic_2_4,"The Wizard! Chain lightning, baby. Hits everything in sight.",ウィザード！チェインライトニング。見えるもの全てに当たるわよ。,위자드! 체인 라이트닝. 보이는 것 다 맞춰.,巫師！連鎖閃電。打擊視野內的一切。,巫师！连锁闪电，宝贝。打击视野内的一切。,"¡El Hechicero! Relámpago en cadena, nena. Golpea todo a la vista.","O Feiticeiro! Relâmpago em cadeia, cara. Atinge tudo à vista.","Волшебник! Цепная молния, детка. Бьёт всё в поле зрения.","Le Sorcier ! Éclair en chaîne, bébé. Frappe tout ce qui est en vue.","Phù Thủy! Sét xích, tuyệt vời. Đánh trúng mọi thứ trong tầm nhìn."
story_vic_2_5,Take it. You've earned it.,受け取って。お前は稼いだのよ。,가져가. 네가 번 거야.,收下它。你贏得了它。,接受它。你赢得了它。,Tómalo. Te lo has ganado.,Pegue. Você mereceu.,Возьми. Ты заслужил.,Prends-le. Tu l'as mérité.,Nhận lấy. Ngươi xứng đáng.
story_vic_3_0,"The angelic Remnant folds its wings and dissolves into pure light. The light drifts upward, peaceful at last.",天使のレムナントは翼を畳み、純粋な光に溶けていく。光は上昇し、ついに安らかに。,"천사의 잔재가 날개를 접고 순수한 빛으로 녹아든다. 빛이 위로 올라가고, 마침내 평화롭게.",天使殘餘收起翅膀，融化成純粹的光芒。光芒上升，終於平靜了。,天使般的残余收起翅膀，溶解成纯净的光。光向上飘去，终于平静了。,"El Vestigio angelical pliega sus alas y se disuelve en luz pura. La luz asciende, finalmente en paz.","O Vestígio angelical dobra suas asas e se dissolve em luz pura. A luz sobe, finalmente em paz.","Ангельский Останок складывает крылья и растворяется в чистом свете. Свет поднимается вверх, наконец обретя покой.","Le Vestige angélique replie ses ailes et se dissout en lumière pure. La lumière s'élève, enfin en paix.","Tàn Dư thiên thần gấp cánh lại và tan thành ánh sáng thuần khiết. Ánh sáng bay lên, cuối cùng được yên nghỉ."
story_vic_3_1,"Thank you, {name}. You've freed me from my own reflection.",ありがとう、{name}。私自身の反映から解放してくれました。,"감사해요, {name}. 제 자신의 반영에서 저를 해방시켜줬어요.",謝謝你，{name}。你將我從自己的倒影中解放了。,谢谢你，{name}。你将我从自己的倒影中解放了。,"La luz es pura una vez más, gracias a ti, {name}.","A luz está pura novamente, graças a você, {name}.","Свет снова чист, благодаря тебе, {name}.","La lumière est pure à nouveau, grâce à toi, {name}.","Ánh sáng thuần khiết trở lại, nhờ có ngươi, {name}."
story_vic_3_2,A warm yellow light appears - the Cleric sprite.,温かい黄色の光が現れる - クレリックスプライト。,따뜻한 노란 빛이 나타난다 - 클레릭 스프라이트.,溫暖的黃光出現 - 牧師精靈。,一束温暖的黄光出现——牧师精灵。,Mis alas... ahora son tuyas. ¡Protege a todos!,Minhas asas... agora são suas. Proteja todos!,Мои крылья... теперь твои. Защищай всех!,Mes ailes... sont maintenant tiennes. Protège tout le monde !,Đôi cánh của ta... giờ thuộc về ngươi. Hãy bảo vệ mọi người!
story_vic_3_3,"The Cleric. A healer, like I once was.",クレリック。私と同じく、癒し手です。,"클레릭. 저처럼, 치유자예요.",牧師。像我一樣，是治療者。,牧师。和我曾经一样，是治愈者。,"El Clérigo. Un sanador, como yo lo fui.","O Clérigo. Um curandeiro, como eu já fui.","Жрец. Целитель, как я когда-то была.","Le Clerc. Un soigneur, comme je l'étais autrefois.","Thầy Tu. Một người chữa trị, giống như ta ngày xưa."
story_vic_3_4,It will mend your wounds. You'll need it for what comes next.,あなたの傷を癒してくれます。この先に必要になるでしょう。,당신의 상처를 치유해줄 거예요. 앞으로 필요할 거예요.,它會治癒你的傷口。接下來你會需要它的。,它会治愈你的伤口。接下来的挑战你会需要它。,Sanará tus heridas. Lo necesitarás para lo que viene.,Vai curar suas feridas. Você vai precisar para o que vem a seguir.,"Он исцелит твои раны. Тебе это понадобится для того, что впереди.",Il soignera tes blessures. Tu en auras besoin pour la suite.,Nó sẽ chữa lành vết thương. Ngươi sẽ cần cho những gì sắp đến.
story_vic_4_0,The Remnant's light flickers... dims... and finally fades. Silence falls over the void.,レムナントの光が揺らぎ... 弱まり... ついに消える。虚空に静寂が落ちる。,잔재의 빛이 깜박이고... 어두워지고... 마침내 사라진다. 허공에 침묵이 내린다.,殘餘的光芒閃爍... 黯淡... 最終消失。虛空陷入寂靜。,残余的光闪烁...变暗...最终消逝。寂静笼罩虚空。,La luz del Vestigio parpadea... se atenúa... y finalmente se desvanece. El silencio cae sobre el vacío.,A luz do Vestígio pisca... escurece... e finalmente desaparece. O silêncio cai sobre o vazio.,Свет Останка мерцает... тускнеет... и наконец гаснет. Тишина опускается на пустоту.,La lumière du Vestige vacille... faiblit... et finalement s'éteint. Le silence tombe sur le vide.,Ánh sáng của Tàn Dư nhấp nháy... mờ dần... và cuối cùng tắt hẳn. Sự im lặng bao trùm hư không.
story_vic_4_1,...It's over.,...終わった。,...끝났다.,...結束了。,...结束了。,...Se acabó.,...Acabou.,...Всё кончено.,...C'est fini.,...Kết thúc rồi.
story_vic_4_2,"You actually did it, {name}. You freed all of us.",本当にやり遂げた、{name}。お前は俺たち全員を解放した。,"정말 해냈구나, {name}. 우리 모두를 해방시켰어.",你真的做到了，{name}。你解放了我們所有人。,你真的做到了，{name}。你解放了我们所有人。,"De verdad lo lograste, {name}. Nos liberaste a todos.","Você realmente conseguiu, {name}. Você libertou todos nós.","Ты и правда сделал это, {name}. Ты освободил нас всех.","Tu l'as vraiment fait, {name}. Tu nous as tous libérés.","Ngươi thực sự đã làm được, {name}. Ngươi đã giải phóng tất cả chúng ta."
story_vic_4_3,Two lights emerge from where the Remnant fell - the Ninja and Bomber sprites.,二つの光がレムナントの消えた場所から現れる - ニンジャとボマースプライト。,두 빛이 잔재가 쓰러진 곳에서 나타난다 - 닌자와 봄버 스프라이트.,兩道光從殘餘倒下的地方浮現 - 忍者和轟炸手精靈。,两束光从残余倒下之处浮现——忍者和轰炸手精灵。,Dos luces emergen de donde cayó el Vestigio: los sprites Ninja y Bombardero.,Duas luzes surgem de onde o Vestígio caiu — os sprites Ninja e Bombardeiro.,"Из места, где пал Останок, появляются два огня — спрайты Ниндзя и Бомбера.",Deux lumières surgissent de l'endroit où le Vestige est tombé - les sprites Ninja et Bomber.,Hai ánh sáng trồi lên từ nơi Tàn Dư ngã xuống - sprite Ninja và Bomber.
story_vic_4_4,Take them. They're yours now.,受け取れ。お前のものだ。,받아라. 이제 네 거다.,收下它們。它們現在是你的了。,收下它们。它们现在属于你。,Tómalos. Ahora son tuyos.,Pegue-os. Eles são seus agora.,Возьми их. Теперь они твои.,Prends-les. Ils sont à toi maintenant.,Nhận lấy chúng. Giờ chúng là của ngươi.
story_vic_4_5,"You've earned every sprite, every power, every victory.",お前は全てのスプライト、全ての力、全ての勝利を勝ち取った。,"모든 스프라이트, 모든 힘, 모든 승리를 얻었다.",你贏得了每一個精靈、每一份力量、每一次勝利。,你赢得了每一个精灵，每一份力量，每一次胜利。,"Te has ganado cada sprite, cada poder, cada victoria.","Você ganhou cada sprite, cada poder, cada vitória.","Ты заслужил каждого спрайта, каждую силу, каждую победу.","Tu as mérité chaque sprite, chaque pouvoir, chaque victoire.","Ngươi đã giành được mọi sprite, mọi sức mạnh, mọi chiến thắng."
subtitle,"Summon sprites, survive the horde",精霊を召喚し、群れを生き延びろ,정령을 소환하고 무리에서 살아남아라,召喚精靈，在群敵中生存,召唤精灵，在群敌中生存,"Invoca espíritus, sobrevive a la horda","Invoque espíritos, sobreviva à horda","Призывай духов, выживай в орде","Invoque des esprits, survis à la horde","Triệu hồi linh hồn, sống sót qua bầy quái"
summonSprites,SUMMON SPRITES,スプライト召喚,스프라이트 소환,召喚精靈,召唤精灵,INVOCAR SPRITES,INVOCAR SPRITES,ПРИЗЫВ СПРАЙТОВ,INVOQUER SPRITES,TRIỆU HỒI SPRITE
survival,SURVIVAL,サバイバル,서바이벌,生存模式,生存模式,SUPERVIVENCIA,SOBREVIVÊNCIA,ВЫЖИВАНИЕ,SURVIE,SINH TỒN
time,Time,タイム,시간,時間,时间,Tiempo,Tempo,Время,Temps,Thời gian
title,SPRITE SURVIVOR,スプライトサバイバー,스프라이트 서바이버,精靈生存者,精灵生存者,SPRITE SURVIVOR,SPRITE SURVIVOR,SPRITE SURVIVOR,SPRITE SURVIVOR,SPRITE SURVIVOR
vampire,Vampire,ヴァンパイア,뱀파이어,吸血鬼,吸血鬼,Vampiro,Vampiro,Вампир,Vampire,Ma cà rồng
victory,VICTORY!,勝利！,승리!,勝利！,胜利！,¡VICTORIA!,VITÓRIA!,ПОБЕДА!,VICTOIRE !,CHIẾN THẮNG!
victoryMsg,You defeated the final boss!,最終ボスを倒した！,최종 보스를 처치했다!,你擊敗了最終魔王！,你击败了最终魔王！,¡Derrotaste al jefe final!,Você derrotou o chefe final!,Вы победили финального босса!,Vous avez vaincu le boss final !,Bạn đã đánh bại boss cuối!
wave,WAVE,ウェーブ,웨이브,波次,波次,OLEADA,ONDA,ВОЛНА,VAGUE,ĐỢT
waveReached,Wave Reached,到達ウェーブ,도달 웨이브,到達波次,到达波次,Oleada Alcanzada,Onda Alcançada,Достигнута волна,Vague Atteinte,Đợt đạt được
wizard,Wizard,ウィザード,위자드,巫師,巫师,Hechicero,Feiticeiro,Волшебник,Sorcier,Phù thủy
